Topic,Speaker,Manx,English
part one 'the family',Derek Phillips,"Va mee hene ruggit as troggit ayns Doolish, t'ou toiggal, as va my ayr, va eshyn veih Bretin as va my voir ruggit as troggit er yn Ellan, as va ooilley yn lught-thie ecksh ruggit as troggit er yn Ellan. As cha row enney erbee aym's er lught-thie my ayr. Er lhiam's dy row ad ooilley marroo roish va mish ruggit mee hene. Va. Va shuyr- well, va daa huyr aym's as braar neesht agh ta ny neesht jeu- ta'n troor jeu marroo nish. Aye, ta. T'ad ooilley ersooyl, as mish my lomarcan, ghooinney, nish!","I was born and raised in Douglas, myself, you know, and my father, he was from Wales and my mother was born and raised on the Island, and all her family were born and raised on the Island. And I didn't know my father's family at all. I think they were all dead before I myself was born. Yeah. A sister- well, I had two sisters and a brother too but the two of them- the three of them are dead now.  Aye, yeah. They're all gone, and I'm alone, fella, now!"
part one 'the family',Peddyr Hayhurst,"Ta mee poosit, ta mee cummal ayns Purt le Moirrey marish my ven, Claudia, as my daa phaitçhyn. Ta Lucas jeih bleeaney d'eash as ta Hannah shiaght bleeaney d'eash, as ta ny jees jeu goll dys scoill ayns Purt le Moirrey.","I'm married, I live in Port St. Mary with my wife, Claudia, and my two children. Lucas is ten years old and Hannah is seven years old, and they both go to school in Port St. Mary."
part one 'the family',Annie Kissack,"Well, ta mee poosit rish Phil Gawne as ta daa phaitçhey aym's, Ewan as Kitty. As keayrt dy row va kayt ain agh cha nel ee ayn nish, atreih!","Well, I'm married to Phil Gawne and I have two children, Ewan and Kitty. And at one time we had a cat but she's not with us now, sadly!"
part one 'the family',David Fisher,"Va'n lught-thie aym, va my warree as shenn-ayr, v'ad beaghey, v'ad cummal heose ayns Slieau Whallian, heose  y raad ayns shen, as va shen yn chied keayrt va mee geaishtagh rish yn Gaelg. Cha row ad loayrt Gaelg yn aght ta shin jannoo eh ny laghyn shoh agh v'ad jannoo ymmyd jeh focklyn. Va my shenn-ayr çheet stiagh as gra, ""Oh, t'eh feayr, t'eh feayr, t'eh feayr,"" as ny keayrtyn v'eh gra, ""T'eh feer feayr,"" as ren mee toiggal y red v'eh çheet er agh cha row eh caghlaait dou ayns Baarle. Just, va shen fockle. Smooinnee mee dy row ad jannoo ymmyd jeh focklyn yn lught thie, just sorçh dy focklyn ta shinyn jannoo, agh ren mee- tra ren mee gynsaghey Gaelg va mee feddyn magh dy row eh Gaelg va adsyn loayrt. As va smadderal aym tra va mee feer aeg - focklyn Gaelgagh. 'Crosh', as 'feayr', as, oh, tra erbee va mee tuittym sheese as keayney myr shen va my warree cur ny roih mygeayrt y mysh as gra, ""Oh, the little boght villish, the boght villish veen,"" as dy chooilley red myr shen, ""Boght villish veen."" As ren mee toiggal eh agh cha row fys aym dy row eh Gaelg derrey va mee foddey ny s'aegey- ny shinney. Ta. As va my vummig, v'ee jannoo ymmyd jeh focklyn Gaelgagh ny neesht, just fer ny jees, as cha row fys- cha row mee smooinaghtyn my-e-chione, cha row mee just jannoo ymmyd jeh focklyn Gaelgagh ny keayrtyn. Agh cha row monney, just peesh ny ghaa, as cha ren mee toiggal dy row eh Gaelg derrey va mee goll dys brastyllyn Gaelgagh as feddyn magh dy row mee loayrt beggan dy Gaelg.","My family, my grandmother and grandfather, they were living, they were living up on Slieau Whallian, up the road there, and that was the first time I heard Manx. They didn't speak Manx the way we do these days but they used words. My grandfather would come in and say ""Oh, it's cold, it's cold, it's cold,"" and sometimes he would say, ""It's very cold,"" and I understood what he meant but it wasn't translated for me in English. Just, that was a word. I thought that they were using words from our family, just sort of words we make up, but I- when I learned Manx I found out that it was Manx they were speaking. And I had a smattering when I was very young - Manx words. 'Cross' and 'cold', and, oh, any time I fell down and cried like that my grandmother would put her arms around me and say, ""Oh, the poor sweet little thing, the poor sweet dear,"" and everything like that, ""Poor sweet dear."" And I understood it but I didn't know it was Manx until I was much younger- older. Yeah. And my mother, she used Manx words too, just one or two, and I didn't know- I didn't think about it, I was just using Manx words sometimes. But not many, just one or two, and I didn't understand that it was Manx until I went to Manx classes and found out that I was speaking a bit of Manx."
part one 'the family',Peddyr Cubberley,"Ta my lught-thie ass y Twoaie Vooar, Ado, as haink my henn-ayr veih Purt ny hInshey hoshiaght as eisht hie eh gys Skylley Maghal as haink eh whaiyll my warree ayns shen. As eisht lurg tammylt braew hie ad stiagh gys Rhumsaa as shen y boayl va mee troggit, as my lught-thie, ayns shen, t'ou toiggal, she. Ass y Twoaie Vooar. Shen y boayl dynsee mee yn Gaelg, ayns shen, ny neesht. Hayley O'Meara Well, I have a sister and she's much older than me, she's about ten years older than me, and I have a brother whose name is James and he's older than me too, and I have two other brothers: there's Marco and Callum, and he, well, they are younger than me but I always say that Marco is older than me. You're not allowed to say anything about that!","My family are from the North, Ado, and my grandfather came from Peel first and then he went to Maughold and he met my grandmother there. Then after a good while they went into Ramsey and that's where I was raised, and my family, there, you know, yeah. From the North. That's where I learned Manx, there, too. Well, ta shuyr aym as t'ee foddey ny shinney na mish, t'ee mysh jeih blein ny shinney na mish, as ta vraar aym ta'n ennym er Jamys as t'eh ny shinney na mish neesht, as ta daa vraar elley aym's: ta Marco as Callum, as t'eh, well, t'ad ny saa na mish agh ta mee dy kinjagh gra dy vel Marco ny shinney na mish. Cha nel oo lowit gra red erbee mychione shen!"
part one 'the family',Jane Martin,"My lught-thie, well, ta my ghooinney, as ta shin er ve poosit son daa vlein as daeed nish.","My family, well, there's my husband, and we've been married for forty two years now."
part one 'the family',Cathy Clucas,"Yn lught-thie aym, well, ec y traa t'ayn ta kiare mec aym. Ta'n fer shinney Steoin, t'eh hoght bleeaney as feed, as ta Cameron, t'eh shen bunnys shey bleeaney feed, as Dollan, A.K.A. or alias 'Mainshter Scrysseyder' va eshyn feed bleeantyn nish, as ta fer saa, Ferghal, as t'eh just hoght bleeaney jeig. As ta inneen oe aym but cha nel ee cummal marym, t'ee bunnys kiare bleeaney d'eash, enmyssit Imogen. So shen my lught-thie, well, as daa kiyt, daa viggin, Lilee Bane as Noit Noire er lhiams shen kiart ayns Frangish.","My family, well, at the moment I have four sons. The oldest one is Steoin, he's twenty eight, and there's Cameron, he's almost twenty six, and Dollan, A.K.A. or alias 'Mister Scratchy' he's twenty now, and the youngest one, Ferghal, and he's just eighteen years old. And I have a granddaughter but she doesn't live with me, she's almost four years old, called Imogen. So that's my family, well, and two cats, two pets, White Lilly, and Noit Noire I think that's right in French."
part one 'the family',Aalin Clague,"Well, ta daa vac aym, Magnus as Fergus, as t'ad goll dys y Vunscoill. Ta Magnus jeih bleeantyn d'eash as ta Fergus shiaght, as ta mee cummal marish my ghooinney, Robert, neesht.","Well, I have two sons, Magnus and Fergus, and they go to the Bunscoill. Magnus is ten years old and Fergus is seven, and I live with my husband, Robert, too."
part one 'the family',Marie Clague,"Ren mee poosit rish Kerron as ta daa inneen ain. T'ad ny jees jeu aasit nish as ta paitçhyn oc hene, as myr shen ta tree oeghyn-mic ain nish: daa ec my inneen shinney, as nane ec my inneen saa.","I'm married to Kerron and we have two daughters. Both of them are grown up now and have their own children, and so we have three grandsons now: two by my eldest daughter, and one by my youngest daughter."
part one 'the family',Phil Gawne,"Well, ta'n lught-thie aym's, ta mac aym's, as ta inneen aym's, as my ven, Annie. Ta'n mac aym's, Ewan, tra hie eh dy scoill cha row wheesh dy Baarle echey as va Gaelg echey, as nish ta Ewan ayns Aberystwyth  jannoo studeyrys, as ta Kitty foast ec- well, hie Kitty gys y Vunscoill.","Well, my family, I have a son, and I have a daughter, and my wife, Annie. My son, Ewan, when he went to school he didn't have as much English as he had Manx, and now Ewan is in Aberystwyth studying, and Kitty is still at- well, Kitty went to the Bunscoill."
