ID,Manx,English,
series 01,Ta mee ayns Rhumsaa jiu as she laa braew t'ayn,,
series 02,S'mie lhiam kay-riojey as s'mie lhiam kay-riojey shocklaid,,
series 03,Shoh Jishag y Nollick, This is Father Christmas,
series 04,Ta mee geearree ram stoo son y Nollick , I want loads of things for Christmas,
Series 05,Nollick Ghennal , Happy Christmas,
series 06,Blein Vie Noa , Happy New Year,
series 07,"Bannaghtyn, mish Isla "," Greetings, I'm Isla",
series 08,"Bannaghtyn, mish Isla as ta mee braew "," Greetings, I'm Isla and I am fine ",
series 09,"Bannaghtyn, mish Isla as ta mee braew. kys t'ou?",,
series 10,"Bannaghtyn, mish Isla as ta mee braew as ta mee cummal ayns Mannin.",,
series 11,Craad t'ou cummal?, Where do you live?,
series 12,Ta mee shappal ayns Doolish. Craad t'ou shappal?,,
series 13,"Ta mee cummal ayns Purt ny h-Inshey, ta mee shappal ayns Doolish as ta mee loayrt Gaelg boayl erbee",,
series 14,Ta mee loayrt Gaelg ayns Doolish nish. C'raad t'ou loayrt Gaelg?,,
series 15,Ta mee er y twoaie jiu , I am in the north today,
series 16,Ta mee geearree goll shappal ayns Rhumsaa jiu,,
series 17,Ta mee geearree miljanyn nish , I want some sweets now,
series 18,Ta mee cummal ayns Mannin as ta Mannin yindyssagh,,
series 19,Ta mee maynrey cummal ayns Purt ny h-Inshey as ta mee feer vaynrey cummal ayns Mannin,,
series 20,Ta mee cummal ayns Purt ny h-Inshey agh ta mee shappal ayns Doolish,,
series 21,Mish Jenny as shoh my charrey Ali , I'm Jenny and this is my friend Ali ,
series 22,Ta shin ayns Purt Chiarn , We are in Port Erin ,
series 23,Ta mee geearree kay riojey nish , I want an ice cream now ,
series 24,Ta mee geearree caffee doo nish , I want a black coffee now ,
series 25,Ta mee goll dys Purt le Moirrey er y traen nish , I'm going to Port st Mary on the train now ,
series 26,Ta mee goll dys Rhumsaa nish agh cha nel mee goll er y traen,,
series 27,Vel oo fakin yn Moddey Doo? , Do you see the Moddey Doo? ,
series 28,T'eh feayr agglagh jiu , It's terribly cold today ,
series 29,"Craad t'ou cummal, Cesar? ", Where do you live Cesar? ,
series 30,"Mish Agatha, shoh James. Ta shin cummal ayns Mannin",,
series 31,Ta mee shappal ayns Purt Chiarn jiu , I am shopping in Port Erin today ,
series 32,Ta mee shappal ayns Purt Chiarn jiu as t'eh beggan tarroogh ,,
series 33,Shoh yn traie ayns Purt Chiarn. Nagh vel eh aalin? ,,
series 34,Shoh baatyn eeastee,These are fishing boats ,
series 35,Er-lhiam dy vel yn jiass yindyssagh,,
series 36,Vel eh feeu goll shappal ayns Rhumsaa?,,
series 37,T'ad cloie feeal , They are playing chess,
series 38,Cha nel eh feer tarroogh ayns Rhumsaa jiu agh t'eh tarroogh dy liooar,,
series 39,Vel monney sleih shappal ayns Rhumsaa jiu?,,
series 40,T'eh braew yindyssagh ayns Rhumsaa jiu,,
series 41,Ta mee ec shapp y vaatey-saualtys ayns Rhumsaa,,
series 42,Ta awin goll fo yn droghad,,
series 43,Mie lhiat Marmite? Cha mie,,
series 44,"Vel oo geearree Marmite nish? Cha nel, cha mie lhiam Marmite",,
series 45,"Mie lhiat spollagyn? Aye, s'mie lhiam spollagyn ram ",,
series 46,Ta ny spollagyn yindyssagh. ,,
series 47,Vel accrys ort? Cha nel nish ,,
series 48,"Vel oo geearree Marmite? Cha nel nish, gura mie ayd 150 ",,
series 49,"Nane, jees, tree, kiare, queig, shey, shiaght, hoght, nuy, jeih ",,
series 50,"Nane, jees, tree, kiare, queig, shey, shiaght, hoght, nuy, jeih, nane-jeig, daa-yeig, tree-jeig, kiare-jeig, queig-jeig, shey-jeig, shiaght-jeig, hoght-jeig, nuy-jeig, feed",,
series 51,"Jelune, Jemayrt, Jecrean, Jerdein, Jeheiney, Jesarn, Jedoonee ",,
series 52,Ta mee ec yn Cheyllys nish , I'm at the Sound now,
series 53,Ta mee ec yn Cheyllys nish as she laa braew t'ayn,,
series 54,Jiu ta mee ayns Purt Chiarn agh share lhiam Purt ny h-Inshey,,
series 55,Ta mee ayns Purt Chiarn agh ta mee geearree goll dys Purt ny h-Inshey,,
series 56,Vel Manannan cummal er Barrool Twoaie? ,,
series 57,"Cha nel Manannan cummal er Barrool Twoaie, t'eh cummal er Barrool Jiass ",,
series 58,C'raad share lhiat shappal: Purt Chiarn ny Doolish?,,
series 59,S'mie lhiam yn Cholloo agh cha nel mee geearree cummal ayns shen,,
series 60,Vel uss geearree cummal er y Cholloo?,,
series 61,S'mie lhiam giù bainney as gee curree , I like drinking milk and eating curry ,
series 62,"S'mie lhiam giu bainney, gee curree as loayrt Gaelg. Cre s'mie lhiat? ",,
series 63,S'mie lhiam Doolish as Purt le Moirrey. C'raad share lhiat? , ,
series 64,S'mie lhiam curree as bonnag agh share lhiam spollaghyn ,,
series 65,"S'mie lhiam curree, bonnag as spollagyn agh share lhiam Gaelg",,
series 66,S'mie lhiam kay riojey Vanilla er y fa dy vel eh blasstal,,
series 67,S'mie lhiam gee curree er y fa dy vel eh blasstal,,
series 68,S'mie lhiam Rhumsaa agh share lhiam Purt le Moirrey,,
series 69,S'mie lhiam loayrt er y çhellvane as s'mie lhiam tweetal,,
series 70,S'mie lhiam Creneash agh cha nel monney shappyn ayns shoh,,
series 71,Shoh shenn thie Harry Kelly,,
series 72,S'mie lhiam thie Harry Kelly agh ta mee maynrey nagh vel mee cummal ayns shen,,
series 73,S'mie lhiam yn traen agh share lhiam yn baatey,,
series 74,Cre smie lhiat jannoo ec yn jerrey-shiaghtin? ,,
series 75,Cre smie lhiat jannoo er y jerrey-shiaghtin? S'mie lhiam cadley,,
series 76,Vel Purt le Moirrey ny share na Purt ny h-Inshey? Cha nel,,
series 77,Vel Rhumsaa ny share na Purt le Moirrey? S'liklee dy vel eh,,
series 78,Vel Doolish ny smoo aalin na Purt ny h-Inshey? Cha nel eh,,
series 79,Vel Colby ny smoo danjeyragh na Purt ny h-Inshey?,,
series 80,Vel Dalby ny smoo dree na Colby? Cha nel mee shickyr,,
series 81,Vel Purt ny h-Inshey ny smoo tarroogh na Purt le Moirrey? Er-lhiams dy vel eh,,
series 82,Vel yn jiass ny share na'n twoaie?,,
series 83,S'mie lhiam Purt ny h-Inshey as s'mie lhiam shiaulley ,,
series 84,S'mie lhiam Purt ny h-Inshey as s'mie lhiam loayrt Gaelg,,
series 85,S'mie lhiam cummal ayns Purt ny h-Inshey er y fa dy vel eh aalin ,,
series 86,Ta Purt ny h-Inshey feer aalin, Peel is very beautiful ,
series 87,S'mie lhiam snaue agh cha nel mee geearree snaue nish ,,
series 88,S'mie lhiam Colby agh share lhiam Purt ny h-Inshey er y fa dy vel eh feer aalin,,
series 89,S'mie lhiam yn baatey shoh , I like this boat ,
series 90,Nagh vel yn baatey shoh yindyssagh? , Isn't this boat wonderful? ,
series 91,Mie lhiat yn baatey shoh? , Do you like this boat? ,
