Id,Manx,English
1113,Skee,Tired
2113,Feayr,Cold
4113,Keoie,
4187,apag,monkey 
4191,arkan-sonney,hedgehog
4195,ard-nieu,snake 
4199,assyl,donkey
4203,booa,cow
4207,cabbyl,horse
4211,cabbylawin,hippo
4215,craitnag,bat
4219,croggeeyl,crocodile
4223,crammag,snail
4227,crooag-heeidey,silkworm
4231,dhiane,worm
4235,doo oallee,spider
4239,doourchoo,beaver
4243,eayn,lamb
4247,famman,tail
4251,feeaih,deer
4255,fiorag,squirrel
4259,foillycan,butterfly
4263,jolgane-leaghyr,lizard
4267,kionesnaue,tadpole
4271,kyaghan,mole
4275,lheiy,calf
4279,lhemeen,moth
4283,lion,lion
4287,lion spottagh,leopard
4291,lugh,mouse
4295,maaig,paw or flipper
4299,moddey oaldey,wolf
4303,moddey-keyrragh,sheep dog
4307,muc,pig
4311,mucawin,bear
4315,mucawin bane,polar bear
4319,mucawin sheenagh,panda
4323,praddag,caterpillar
4327,rannag,frog
4331,quaillag,fly
4335,rannag-ghoo,toad
4339,roddan puissagh,hampster
4343,shellan,bee
4347,shellan cabbyl,wasp
4351,shynnagh,fox
4355,sniegan,ant
4359,stroin eairkagh,rhinoceros
4363,tarroo,bull
4374,ayr,father
4378,ben,woman
4382,braar,brother
4386,caayrphuttee,push chair
4390,carbyd clienney,pram
4394,carrey,friend
4398,cloan,children
4402,babban,baby
4406,dooinney,man
4410,dooinney-poosee,bridgroom
4414,dooinney-poost,husband
4418,inneen,daughter
4422,mac,son
4426,moidyn y phoosee,bridegroom
4430,moir,mother
4434,naim,uncle
4438,mwarree,grandmother
4442,naunt,aunt
4446,oikan,baby
4450,ollan,wool
4454,paitchey,child
4458,paitchyn,children
4462,shaner,grandfather
4466,shuyr,sister
4470,sleih,people
4474,jishag,dad
4478,mumig,mum
5113,Kys t'ou?,How are you?
6113,Braew,Fine
6589,ben-daunsin,female dancer
6593,ben-rein,queen 
6597,ben-ynsee,female teacher
6601,boandyr,nurse
6605,cloieder,actor
6609,coageyder,cook
6613,bochilley,shepherd
6617,dooinney spoar,spaceman
6621,dooinney-aitt,clown
6625,eeasteyr,fisherman
6629,eirinagh,farmer
6633,fer y phost,postman
6637,feeackleyr,dentist
6641,fer-lhee,doctor
6645,fer-obbee,magician
6649,freilleyder-beishtyn,zoo keeper
6653,fuinneyder,baker
6657,immanagh,driver
6661,laue-chluickeyder,juggler
6665,meoir-shee,policeman
6669,obbrinagh,mechanic
6673,peinteyr,painter
6677,ratch-immanagh,racing driver
6681,ree,king
6685,roosteyr,thief
6689,seyr,joiner
6693,shapp eeastee,fishmongers
6697,shappeyder,shopkeeper
6701,sidoor,solider
6705,skibbyltagh,acrobat
6709,slaader,decorator
6713,spoar-troailtagh,spaceman
6717,stiureyder,pilot
6721,thummeyder,diver
6725,ymmyrkagh,porter
6847,aarey,ladder
6851,boalley,wall 
6855,brasnag,firewood 
6859,drillin,sparkler
6863,breeck,brick
6867,dulliag,leaf
6871,faiyr,grass
6875,garey,garden
6879,garreish,garage
6883,giareyder faiyr,lawnmower
6887,kibbin,peg
6891,kiebbey,spade
6895,leaystane,swing
6899,losserey,plant
6903,lossreeyn,plants
6907,maidjer,stick
6911,ooir,soil
6915,piob,pipe
6919,pioban,hose pipe
6923,rass,seed
6927,raistyl,rake
6931,speiy,hoe
6935,spreiyder,sprinkler
6939,tead,rope
6943,stoandey,barrel
6947,thammag,bush
6951,thie glionney,greenhouse
6955,voalley,wall
6962,aalin,beautiful
6966,bog,soft
6970,boght,poor
6974,booiagh,pleased
6978,braew,fine
6982,creoi,hard
6986,doillee,difficult
6990,injil,low
6994,jesh,nice
6998,lane,full
7002,liauyr,long
7006,moal,slow
7010,mooar,big
7014,mooarane,many
7018,noa,new
7022,olk,bad
7026,ommidjagh,foolish
7030,roauyr,fat
7034,shenn,old
7038,skee,tired
7042,sollagh,dirty
7046,tappee,quick
7050,thanney,thin
7054,trimshagh,sad
7058,trome,heavy
7062,ymmydoil,useful
7066,çheh,hot
7070,çheu-mooie,outside
7074,çheu-sthie,inside
7078,çheu-veealloo,in front
7085,bastag,basket
7089,brelleein,sheet
7093,caayr,chair
7097,caslys,picture
7101,chiasseyder,heater
7105,clag,clock
7109,claare,record
7113,clooisag,pillow
7114,Feer vie,Very good
7117,cochaslys-soilshey,photograph
7121,cressad,lamp
7125,cubbyrt,cupboard
7129,dhull,plug
7133,doalan-slat,blind
7137,faastguin,sponge
7141,jalloo,picture
7145,kere,comb
7149,kishtagan,chest of drawers
7153,kishteig hayrn,drawer
7157,kishtey argid,money box
7161,lhiabbee,bed
7165,ollan-cadee,cotton wool
7169,pabyrvoallley,wallpaper
7173,press eaddee,wardrobe
7177,scudlagh,luggage
7181,shamraig,camera
7185,shamyr lhiabbagh,bedroom
7189,çhellvane,phone
7193,çhellveeish,television
7200,bolg,stomach
7204,beeal,mouth
7208,boyn,heel
7212,cass,foot
7216,cleaysh,ear
7220,cleeau,chest
7224,dreeym,back
7228,eddin,face
7232,feeacklyn,teeth
7236,folt,hair
7240,geayltyn,shoulders
7244,kione,head
7248,laue,hand
7252,lieckan,cheek
7256,lurgey,leg
7260,mair,finger
7264,meillyn,lips
7268,mair-coshey,toe
7272,mollee,eyebrow
7276,mwannal,neck
7280,ordaag,thumb
7284,roih,arm
7288,smeggyl,chin
7292,sooill,eye
7296,stroin,nose
7300,thoin,bottom
7304,uillin,elbow
7308,çhengey,tongue
7315,calmane,dove
7319,eean,bird or chicken
7323,eean-guiy,gosling
7327,eean thunnag,duckling
7331,eean-kiark,chicken
7335,fedjag,feather
7339,hullad,owl
7343,foillan,gull
7347,kellagh frangagh,turkey
7351,kiark,hen
7355,ollay,swan
7359,parrad,parrot
7363,skian,wing
7367,thunnag,duck
7371,urley,eagle
7375,urley,eagle
7382,bayrn,cap
7386,boandey,tie
7390,braagyn,shoes
7394,braagyn-jeen,wellingtons
7398,braagyn-roie,running shoes
7402,breechyn-gorrym,jeans
7406,braagynquellagh,roller skates
7410,carraneyn-thie,slippers
7414,carraneyn,sandals
7418,clesp,buckle
7422,cooat,coat
7426,cooat shamyr,dressing gown
7430,cruinneen,bead
7434,cryss,belt
7438,eaddagh,clothes
7442,eaddagh-breagey,fancy dress
7446,eaddagh-oie,pyjamas
7450,fo-hroosyn,underpants
7454,fo-lheiney,vest
7458,gansee-foshlee,cardigan
7462,jaggad,jacket
7466,lauenyn,gloves
7470,lheiney,shirt
7474,lheiney T,T Shirt
7478,oashyryn,socks
7482,oashyryn-lheshey,tights
7486,ollan,wool
7490,ooreyder,watch
7494,rhymbyl,skirt
7498,spagey,handbag
7502,sporran,purse
7506,tayrnag,zip
7510,towl-cramman,button-hole
7514,troosyn,trousers
7518,troosyn-cuttagh,shorts
7525,bane,white
7529,daaghyn,colours
7533,daah,colour
7537,dhone,brown
7541,doo,black
7545,dorraghey,dark
7549,geayney,green
7553,glass,natural green
7557,jiarg,red
7561,jiarg gorrym,purple
7565,jiarg-bane,pink
7569,jiarg-bwee,orange
7573,jiarg-gorrym,purple
7577,lheeah,grey
7584,ammyr,canal
7588,arroo,corn
7592,awin,river
7596,baaieagh,cow house
7600,balley,place
7604,billey,tree
7608,blaa,flower
7612,cabbane,tent
7616,cairt,cart
7620,clagh,stone
7624,cooylley ushtey,lock
7628,creagh,haystack
7632,cronk,hill
7636,creg,rock
7640,druight,dew
7644,dubbey,pool
7648,eas,waterfall
7652,eaynin,cliff
7656,faasagh,desert
7660,giat,gate
7664,jeelt,saddle
7668,keeaght,plough
7672,keyll,forest
7676,kionnan,bale
7680,laagh,mud
